
Receipts Entry :9:26:51 AM Tuesday, July 20, 2021
=====================================================================RECEIPTS=====================================================================================
RegNumber  PR69682526944  | Receipt Number   rpt20217117550  | Invoice Number  IN-20217144492  | Created   7/1/2021 2:34:37 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR9699718355  | Receipt Number   rpt20217918258  | Invoice Number  IN-20217944930  | Created   7/9/2021 1:24:06 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
=====================================================================RECEIPTS=====================================================================================

Receipts Entry :10:17:11 AM Tuesday, July 20, 2021
=====================================================================RECEIPTS=====================================================================================
RegNumber  PR69682526944  | Receipt Number   rpt20217117550  | Invoice Number  IN-20217144492  | Created   7/1/2021 2:34:37 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR69682526944  | Receipt Number   rpt20217117551  | Invoice Number  IN-20217144492  | Created   7/1/2021 2:35:20 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR50852015881  | Receipt Number   rpt20217117552  | Invoice Number  IN-20217144493  | Created   7/1/2021 4:12:41 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR50852015881  | Receipt Number   rpt20217117553  | Invoice Number  IN-20217144493  | Created   7/1/2021 4:12:43 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR71784011184  | Receipt Number   rpt20217117554  | Invoice Number  IN-20217144494  | Created   7/1/2021 6:53:53 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR71784011184  | Receipt Number   rpt20217117555  | Invoice Number  IN-20217144494  | Created   7/1/2021 6:55:37 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR71784011184  | Receipt Number   rpt20217117556  | Invoice Number  IN-20217144494  | Created   7/1/2021 6:56:33 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $1000
RegNumber  PR79809917855  | Receipt Number   rpt20217117557  | Invoice Number  IN-202162944405  | Created   7/1/2021 7:22:11 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR79809917855  | Receipt Number   rpt20217117558  | Invoice Number  IN-202162944405  | Created   7/1/2021 7:23:14 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR84157426781  | Receipt Number   rpt20217117559  | Invoice Number  IN-202162344068  | Created   7/1/2021 7:28:19 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR639891811  | Receipt Number   rpt20217117560  | Invoice Number  IN-202162444123  | Created   7/1/2021 7:35:06 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR61421326994  | Receipt Number   rpt20217117561  | Invoice Number  IN-20217144500  | Created   7/1/2021 8:00:07 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR61421326994  | Receipt Number   rpt20217117562  | Invoice Number  IN-20217144500  | Created   7/1/2021 8:00:49 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR95859326909  | Receipt Number   rpt20217117563  | Invoice Number  IN-202163044470  | Created   7/1/2021 8:02:57 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR95859326909  | Receipt Number   rpt20217117564  | Invoice Number  IN-202163044470  | Created   7/1/2021 8:06:19 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4875
RegNumber  PR95859326909  | Receipt Number   rpt20217117565  | Invoice Number  IN-202163044470  | Created   7/1/2021 8:15:05 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $125
RegNumber  PR34473822048  | Receipt Number   rpt20217117566  | Invoice Number  IN-202133137016  | Created   7/1/2021 8:32:03 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3100
RegNumber  PR88263925882  | Receipt Number   rpt20217117567  | Invoice Number  IN-20217144503  | Created   7/1/2021 8:58:10 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR88263925882  | Receipt Number   rpt20217117568  | Invoice Number  IN-20217144503  | Created   7/1/2021 8:58:52 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR79042626873  | Receipt Number   rpt20217117569  | Invoice Number  IN-202163044456  | Created   7/1/2021 9:02:22 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR24164914257  | Receipt Number   rpt20217117571  | Invoice Number  IN-20217144502  | Created   7/1/2021 9:10:56 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR61421326994  | Receipt Number   rpt20217117572  | Invoice Number  IN-20217144506  | Created   7/1/2021 9:11:33 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR24164914257  | Receipt Number   rpt20217117573  | Invoice Number  IN-20217144502  | Created   7/1/2021 9:11:50 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR24164914257  | Receipt Number   rpt20217117574  | Invoice Number  IN-20217144502  | Created   7/1/2021 9:12:37 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $1000
RegNumber  PR61421326994  | Receipt Number   rpt20217117575  | Invoice Number  IN-20217144506  | Created   7/1/2021 9:12:38 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR12743025761  | Receipt Number   rpt20217117576  | Invoice Number  IN-20216342592  | Created   7/1/2021 9:13:05 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4850
RegNumber  PR12743025761  | Receipt Number   rpt20217117577  | Invoice Number  IN-20216342592  | Created   7/1/2021 9:14:35 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $1650
RegNumber  PR3118236981  | Receipt Number   rpt20217117578  | Invoice Number  IN-20217144509  | Created   7/1/2021 9:27:16 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3118236981  | Receipt Number   rpt20217117579  | Invoice Number  IN-20217144509  | Created   7/1/2021 9:27:58 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR34473822048  | Receipt Number   rpt20217117580  | Invoice Number  IN-202133137016  | Created   7/1/2021 9:34:15 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR34473822048  | Receipt Number   rpt20217117581  | Invoice Number  IN-202133137016  | Created   7/1/2021 9:37:25 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $900
RegNumber  PR38830411013  | Receipt Number   rpt20217117582  | Invoice Number  IN-20217144513  | Created   7/1/2021 10:03:02 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR46575423443  | Receipt Number   rpt20217117583  | Invoice Number  IN-20217144514  | Created   7/1/2021 10:03:50 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR46575423443  | Receipt Number   rpt20217117584  | Invoice Number  IN-20217144514  | Created   7/1/2021 10:05:44 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR71935626966  | Receipt Number   rpt20217117585  | Invoice Number  IN-20217144512  | Created   7/1/2021 10:05:56 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR71935626966  | Receipt Number   rpt20217117586  | Invoice Number  IN-20217144512  | Created   7/1/2021 10:06:56 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR38830411013  | Receipt Number   rpt20217117587  | Invoice Number  IN-20217144513  | Created   7/1/2021 10:11:55 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3118236981  | Receipt Number   rpt20217117588  | Invoice Number  IN-20217144517  | Created   7/1/2021 10:48:55 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR10294726961  | Receipt Number   rpt20217117589  | Invoice Number  IN-202163044491  | Created   7/1/2021 11:09:25 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $16000
RegNumber  PR89073121962  | Receipt Number   rpt20217117590  | Invoice Number  IN-20217144520  | Created   7/1/2021 11:22:38 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR89073121962  | Receipt Number   rpt20217117591  | Invoice Number  IN-20217144520  | Created   7/1/2021 11:23:23 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3118236981  | Receipt Number   rpt20217117592  | Invoice Number  IN-20217144517  | Created   7/1/2021 11:35:02 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3639462729  | Receipt Number   rpt20217117593  | Invoice Number  IN-20217144523  | Created   7/1/2021 12:00:31 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3639462729  | Receipt Number   rpt20217117594  | Invoice Number  IN-20217144523  | Created   7/1/2021 12:01:14 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR1201559909  | Receipt Number   rpt20217117595  | Invoice Number  IN-20217144524  | Created   7/1/2021 12:03:41 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR1201559909  | Receipt Number   rpt20217117596  | Invoice Number  IN-20217144524  | Created   7/1/2021 12:04:20 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR66534726408  | Receipt Number   rpt20217117597  | Invoice Number  IN-20217144526  | Created   7/1/2021 12:07:46 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR66534726408  | Receipt Number   rpt20217117598  | Invoice Number  IN-20217144526  | Created   7/1/2021 12:08:47 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR32741813398  | Receipt Number   rpt20217117599  | Invoice Number  IN-20214637366  | Created   7/1/2021 12:39:24 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR1201559909  | Receipt Number   rpt20217117600  | Invoice Number  IN-T202171275  | Created   7/1/2021 12:59:04 PM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR30851920518  | Receipt Number   rpt20217117601  | Invoice Number  IN-2021123538  | Created   7/1/2021 1:04:09 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4800
RegNumber  PR30851920518  | Receipt Number   rpt20217117602  | Invoice Number  IN-2021123538  | Created   7/1/2021 1:05:01 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3200
RegNumber  PR7009022906  | Receipt Number   rpt20217117603  | Invoice Number  IN-20216442718  | Created   7/1/2021 1:19:38 PM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR22819317453  | Receipt Number   rpt20217117604  | Invoice Number  IN-20217144532  | Created   7/1/2021 2:08:36 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR22819317453  | Receipt Number   rpt20217117605  | Invoice Number  IN-20217144532  | Created   7/1/2021 2:09:50 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR8521626874  | Receipt Number   rpt20217117606  | Invoice Number  IN-202162644300  | Created   7/1/2021 2:26:29 PM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR79042626873  | Receipt Number   rpt20217117607  | Invoice Number  IN-202163044456  | Created   7/1/2021 2:27:55 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR79042626873  | Receipt Number   rpt20217117608  | Invoice Number  IN-202163044456  | Created   7/1/2021 2:28:34 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $2000
RegNumber  PR94973626149  | Receipt Number   rpt20217117609  | Invoice Number  IN-20217144534  | Created   7/1/2021 2:58:09 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4800
RegNumber  PR50174026841  | Receipt Number   rpt20217117610  | Invoice Number  IN-202162544253  | Created   7/1/2021 3:24:11 PM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR6486449888  | Receipt Number   rpt20217117611  | Invoice Number  IN-202121831802  | Created   7/1/2021 3:39:46 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR6486449888  | Receipt Number   rpt20217117612  | Invoice Number  IN-202121831802  | Created   7/1/2021 3:43:17 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR23779427017  | Receipt Number   rpt20217117613  | Invoice Number  IN-20217144535  | Created   7/1/2021 3:46:14 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR23779427017  | Receipt Number   rpt20217117614  | Invoice Number  IN-20217144535  | Created   7/1/2021 3:46:50 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR94973626149  | Receipt Number   rpt20217117615  | Invoice Number  IN-20217144534  | Created   7/1/2021 4:44:47 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3200
RegNumber  PR86272126763  | Receipt Number   rpt20217117616  | Invoice Number  IN-20217144542  | Created   7/1/2021 6:49:44 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $2400
RegNumber  PR86272126763  | Receipt Number   rpt20217117617  | Invoice Number  IN-20217144542  | Created   7/1/2021 7:00:39 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $2800
RegNumber  PR86272126763  | Receipt Number   rpt20217117618  | Invoice Number  IN-20217144542  | Created   7/1/2021 7:01:24 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $2800
RegNumber  PR16138312724  | Receipt Number   rpt20217117619  | Invoice Number  IN-20217144545  | Created   7/1/2021 7:04:35 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR8034348996  | Receipt Number   rpt20217117620  | Invoice Number  IN-20217144525  | Created   7/1/2021 7:10:54 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR89039911982  | Receipt Number   rpt20217117621  | Invoice Number  IN-2021122621  | Created   7/1/2021 7:11:27 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR89039911982  | Receipt Number   rpt20217117622  | Invoice Number  IN-2021122621  | Created   7/1/2021 7:12:03 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR8034348996  | Receipt Number   rpt20217117623  | Invoice Number  IN-20217144525  | Created   7/1/2021 7:13:12 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR7388426971  | Receipt Number   rpt20217117625  | Invoice Number  IN-20217144547  | Created   7/1/2021 8:09:02 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR7388426971  | Receipt Number   rpt20217117626  | Invoice Number  IN-20217144547  | Created   7/1/2021 8:10:11 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR4955143761  | Receipt Number   rpt20217117627  | Invoice Number  IN-20217144550  | Created   7/1/2021 10:10:11 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR4955143761  | Receipt Number   rpt20217117628  | Invoice Number  IN-20217144550  | Created   7/1/2021 10:11:00 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR2461814898  | Receipt Number   rpt20217117629  | Invoice Number  IN-20217144551  | Created   7/1/2021 11:07:51 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR2461814898  | Receipt Number   rpt20217117630  | Invoice Number  IN-20217144551  | Created   7/1/2021 11:09:08 PM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR16138312724  | Receipt Number   rpt20217217631  | Invoice Number  IN-20217144545  | Created   7/2/2021 4:36:53 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR41456326823  | Receipt Number   rpt20217217632  | Invoice Number  IN-202163044460  | Created   7/2/2021 4:58:40 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR41456326823  | Receipt Number   rpt20217217633  | Invoice Number  IN-202163044460  | Created   7/2/2021 4:59:52 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR41133426720  | Receipt Number   rpt20217217634  | Invoice Number  IN-202162143919  | Created   7/2/2021 5:31:16 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR6407144737  | Receipt Number   rpt20217217635  | Invoice Number  IN-20217244553  | Created   7/2/2021 5:55:40 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR1117525661  | Receipt Number   rpt20217217636  | Invoice Number  IN-20217144544  | Created   7/2/2021 6:20:22 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR1117525661  | Receipt Number   rpt20217217637  | Invoice Number  IN-20217144544  | Created   7/2/2021 6:21:23 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR19604426810  | Receipt Number   rpt20217217638  | Invoice Number  IN-T202171652  | Created   7/2/2021 6:27:49 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $50000
RegNumber  PR69847326748  | Receipt Number   rpt20217217640  | Invoice Number  IN-202162243985  | Created   7/2/2021 6:38:49 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR2585648  | Receipt Number   rpt20217217641  | Invoice Number  IN-T202172729  | Created   7/2/2021 6:45:31 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR16899118843  | Receipt Number   rpt20217217642  | Invoice Number  IN-20217144538  | Created   7/2/2021 6:58:21 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR16899118843  | Receipt Number   rpt20217217643  | Invoice Number  IN-20217144538  | Created   7/2/2021 7:02:03 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR7414326897  | Receipt Number   rpt20217217644  | Invoice Number  IN-202162844341  | Created   7/2/2021 7:03:27 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR7414326897  | Receipt Number   rpt20217217645  | Invoice Number  IN-202162844341  | Created   7/2/2021 7:04:13 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR91241626751  | Receipt Number   rpt20217217646  | Invoice Number  IN-202162844355  | Created   7/2/2021 7:11:00 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR45758511208  | Receipt Number   rpt20217217647  | Invoice Number  IN-20217244558  | Created   7/2/2021 7:20:07 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR45758511208  | Receipt Number   rpt20217217648  | Invoice Number  IN-20217244558  | Created   7/2/2021 7:20:54 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR60460827001  | Receipt Number   rpt20217217649  | Invoice Number  IN-20217244559  | Created   7/2/2021 7:39:11 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR60460827001  | Receipt Number   rpt20217217650  | Invoice Number  IN-20217244559  | Created   7/2/2021 7:39:47 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR68019919411  | Receipt Number   rpt20217217651  | Invoice Number  IN-202162544264  | Created   7/2/2021 7:40:07 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $6000
RegNumber  PR63212020094  | Receipt Number   rpt20217217652  | Invoice Number  IN-20217244561  | Created   7/2/2021 7:49:42 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR63212020094  | Receipt Number   rpt20217217653  | Invoice Number  IN-20217244561  | Created   7/2/2021 7:52:11 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR97174717179  | Receipt Number   rpt20217217654  | Invoice Number  IN-20217244564  | Created   7/2/2021 8:04:34 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR97174717179  | Receipt Number   rpt20217217655  | Invoice Number  IN-20217244564  | Created   7/2/2021 8:05:10 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR41952825179  | Receipt Number   rpt20217217656  | Invoice Number  IN-20217244565  | Created   7/2/2021 8:12:18 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR41952825179  | Receipt Number   rpt20217217657  | Invoice Number  IN-20217244565  | Created   7/2/2021 8:17:35 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR73238927027  | Receipt Number   rpt20217217658  | Invoice Number  IN-20217244556  | Created   7/2/2021 8:31:30 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR73238927027  | Receipt Number   rpt20217217659  | Invoice Number  IN-20217244556  | Created   7/2/2021 8:33:20 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3000
RegNumber  PR73238927027  | Receipt Number   rpt20217217660  | Invoice Number  IN-20217244556  | Created   7/2/2021 8:34:20 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $2000
RegNumber  PR385545866  | Receipt Number   rpt20217217661  | Invoice Number  IN-20217244554  | Created   7/2/2021 8:37:33 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR385545866  | Receipt Number   rpt20217217662  | Invoice Number  IN-20217244554  | Created   7/2/2021 8:39:11 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR56467024056  | Receipt Number   rpt20217217663  | Invoice Number  IN-20217244567  | Created   7/2/2021 8:51:47 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR56467024056  | Receipt Number   rpt20217217664  | Invoice Number  IN-20217244567  | Created   7/2/2021 8:53:29 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR21327427014  | Receipt Number   rpt20217217666  | Invoice Number  IN-20217144528  | Created   7/2/2021 9:05:45 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR8404326236  | Receipt Number   rpt20217217667  | Invoice Number  IN-20217144501  | Created   7/2/2021 9:05:58 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR31224623059  | Receipt Number   rpt20217217669  | Invoice Number  IN-202161043120  | Created   7/2/2021 9:06:43 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3902
RegNumber  PR21327427014  | Receipt Number   rpt20217217670  | Invoice Number  IN-20217144528  | Created   7/2/2021 9:06:45 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR22790912415  | Receipt Number   rpt20217217671  | Invoice Number  IN-T202171200  | Created   7/2/2021 9:07:36 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $40000
RegNumber  PR4455486481  | Receipt Number   rpt20217217673  | Invoice Number  IN-T202171851  | Created   7/2/2021 9:10:35 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $16000
RegNumber  PR1411179379  | Receipt Number   rpt20217217674  | Invoice Number  IN-20217244571  | Created   7/2/2021 9:11:15 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR1411179379  | Receipt Number   rpt20217217675  | Invoice Number  IN-20217244571  | Created   7/2/2021 9:12:44 AM   |currency    ZWL  | Tender Type    ONEMONEY     |Amount   $4000
RegNumber  PR7089326946  | Receipt Number   rpt20217217676  | Invoice Number  IN-202162944426  | Created   7/2/2021 9:13:12 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR79208426211  | Receipt Number   rpt20217217677  | Invoice Number  IN-20216742779  | Created   7/2/2021 9:25:43 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR3140062200  | Receipt Number   rpt20217217678  | Invoice Number  IN-20217244576  | Created   7/2/2021 9:35:36 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3140062200  | Receipt Number   rpt20217217679  | Invoice Number  IN-20217244576  | Created   7/2/2021 9:36:16 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR17699726202  | Receipt Number   rpt20217217680  | Invoice Number  IN-20217244580  | Created   7/2/2021 10:02:22 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR18644413734  | Receipt Number   rpt20217217681  | Invoice Number  IN-20217244572  | Created   7/2/2021 10:07:04 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4800
RegNumber  PR18644413734  | Receipt Number   rpt20217217682  | Invoice Number  IN-20217244572  | Created   7/2/2021 10:08:13 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3200
RegNumber  PR17699726202  | Receipt Number   rpt20217217683  | Invoice Number  IN-20217244580  | Created   7/2/2021 10:10:45 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR275819545  | Receipt Number   rpt20217217684  | Invoice Number  IN-20217144540  | Created   7/2/2021 10:17:28 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR275819545  | Receipt Number   rpt20217217685  | Invoice Number  IN-20217144540  | Created   7/2/2021 10:18:11 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR3915649917  | Receipt Number   rpt20217217686  | Invoice Number  IN-20217244579  | Created   7/2/2021 10:25:59 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR77994726985  | Receipt Number   rpt20217217687  | Invoice Number  IN-20217244582  | Created   7/2/2021 10:31:12 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR77994726985  | Receipt Number   rpt20217217688  | Invoice Number  IN-20217244582  | Created   7/2/2021 10:31:50 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR9688262043  | Receipt Number   rpt20217217689  | Invoice Number  IN-20217244585  | Created   7/2/2021 10:47:24 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR9688262043  | Receipt Number   rpt20217217690  | Invoice Number  IN-20217244585  | Created   7/2/2021 10:52:25 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
RegNumber  PR447527006  | Receipt Number   rpt20217217691  | Invoice Number  IN-20217244581  | Created   7/2/2021 10:52:49 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4500
RegNumber  PR447527006  | Receipt Number   rpt20217217692  | Invoice Number  IN-20217244581  | Created   7/2/2021 10:53:50 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $3500
RegNumber  PR36043826840  | Receipt Number   rpt20217217693  | Invoice Number  IN-202162544235  | Created   7/2/2021 10:55:53 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR972854666  | Receipt Number   rpt20217217695  | Invoice Number  IN-202162544243  | Created   7/2/2021 11:09:18 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR2105462816  | Receipt Number   rpt20217217696  | Invoice Number  IN-202162844353  | Created   7/2/2021 11:12:10 AM   |currency    ZWL  | Tender Type    suspense     |Amount   $8000
RegNumber  PR40639921453  | Receipt Number   rpt20217217697  | Invoice Number  IN-20217244593  | Created   7/2/2021 11:25:50 AM   |currency    ZWL  | Tender Type    ECOCASH     |Amount   $4000
